agency_name,total_items,total_acquisition_value,most_acquired_item,first_acquisition,last_acquisition,agency_name_2
ANNE ARUNDEL COUNTY POLICE DEPT,694,198964.4,"SIGHT,REFLEX",2003-06-25T12:00:00Z,2021-02-17T12:00:00Z,"ANNE ARUNDEL COUNTY POLICE DEPT, Maryland"
PRINCESS ANNE POLICE DEPT,33,163558,"RIFLE,5.56 MILLIMETER",2006-12-22T12:00:00Z,2015-03-30T12:00:00Z,"PRINCESS ANNE POLICE DEPT, Maryland"
FRUITLAND POLICE DEPT,46,144436,"SIGHT,REFLEX",1998-10-09T12:00:00Z,2014-03-24T12:00:00Z,"FRUITLAND POLICE DEPT, Maryland"
LA PLATA POLICE DEPT,24,127065.5,"TRUCK,UTILITY",2014-06-23T12:00:00Z,2016-11-22T12:00:00Z,"LA PLATA POLICE DEPT, Maryland"
BERLIN POLICE DEPT,679,112570.75,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2021-02-17T12:00:00Z,"BERLIN POLICE DEPT, Maryland"
DENTON POLICE DEPT,92,109695.23,"PISTOL,CALIBER .45,AUTOMATIC",1997-04-21T12:00:00Z,2015-03-27T12:00:00Z,"DENTON POLICE DEPT, Maryland"
HARFORD COUNTY SHERIFFS OFFICE,917,88476.88,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2021-02-17T12:00:00Z,"HARFORD COUNTY SHERIFFS OFFICE, Maryland"
BOWIE POLICE DEPT,38,82226,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2015-03-30T12:00:00Z,"BOWIE POLICE DEPT, Maryland"
POCOMOKE CITY POLICE DEPT,31,80893,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2014-09-29T12:00:00Z,"POCOMOKE CITY POLICE DEPT, Maryland"
OCEAN CITY POLICE,24,76450,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2015-03-30T12:00:00Z,"OCEAN CITY POLICE, Maryland"
HYATTSVILLE POLICE DEPT,18,69034,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2015-03-30T12:00:00Z,"HYATTSVILLE POLICE DEPT, Maryland"
SALISBURY POLICE DEPT,11,66150,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2013-03-12T12:00:00Z,"SALISBURY POLICE DEPT, Maryland"
RISING SUN POLICE DEPARTMENT,5,64623,"RIFLE,5.56 MILLIMETER",1996-06-26T12:00:00Z,2014-06-11T12:00:00Z,"RISING SUN POLICE DEPARTMENT, Maryland"
LAUREL POLICE DEPT,1,63894,"TRUCK,UTILITY",2012-05-11T12:00:00Z,2012-05-11T12:00:00Z,"LAUREL POLICE DEPT, Maryland"
CENTREVILLE POLICE DEPT,24,60908,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2014-12-03T12:00:00Z,"CENTREVILLE POLICE DEPT, Maryland"
SOMERSET CSO,89,58079.68,"PISTOL, 40CAL, GLOCK GEN 3",1994-11-28T12:00:00Z,2015-12-22T07:49:38Z,"SOMERSET CSO, Maryland"
GREENSBORO POLICE DEPT,10,52887,"SHOTGUN,12 GAGE,RIOT TYPE",1997-04-21T12:00:00Z,2014-03-24T12:00:00Z,"GREENSBORO POLICE DEPT, Maryland"
CAPITOL HEIGHTS POLICE DEPT,1,49897,"TRUCK,UTILITY",2014-04-09T12:00:00Z,2014-04-09T12:00:00Z,"CAPITOL HEIGHTS POLICE DEPT, Maryland"
CARROLL COUNTY SHERIFF DEPT,751,43290.4,"RIFLE,5.56 MILLIMETER",2001-05-29T12:00:00Z,2021-02-24T12:00:00Z,"CARROLL COUNTY SHERIFF DEPT, Maryland"
COPPIN STATE COLLEGE POLICE HI_ED,70,41128.96,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2021-11-10T12:00:00Z,"COPPIN STATE COLLEGE POLICE HI_ED, Maryland"
WASHINGTON COUNTY SHERIFFS OFFICE,68,26808,"RIFLE,5.56 MILLIMETER",2000-09-07T12:00:00Z,2015-03-30T12:00:00Z,"WASHINGTON COUNTY SHERIFFS OFFICE, Maryland"
MARYLAND CAPITOL POLICE,60,24960,"RIFLE,5.56 MILLIMETER",2012-04-24T12:00:00Z,2014-03-24T12:00:00Z,"MARYLAND CAPITOL POLICE, Maryland"
CECIL COUNTY SHERIFF'S OFFICE,52,22628,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2014-03-24T12:00:00Z,"CECIL COUNTY SHERIFF'S OFFICE, Maryland"
PRINCE GEORGE'S CTY SHERIFF OFFICE,679,21432.64,"RIFLE,5.56 MILLIMETER",1995-03-15T12:00:00Z,2021-02-17T12:00:00Z,"PRINCE GEORGE'S CTY SHERIFF OFFICE, Maryland"
BALTIMORE CITY SHERIFF OFFICE,74,21212,"SHOTGUN,12 GAGE,RIOT TYPE",1998-09-28T12:00:00Z,2014-03-24T12:00:00Z,"BALTIMORE CITY SHERIFF OFFICE, Maryland"
CAMBRIDGE POLICE DEPT,93,16305,"SIGHT,REFLEX",2003-04-15T12:00:00Z,2015-03-30T12:00:00Z,"CAMBRIDGE POLICE DEPT, Maryland"
NEW CARROLLTON POLICE DEPT,35,14151,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,"NEW CARROLLTON POLICE DEPT, Maryland"
SAINT MARYS COUNTY SHERIFF DEPT,27,11307,"RIFLE,5.56 MILLIMETER",2004-02-12T12:00:00Z,2004-04-22T12:00:00Z,"SAINT MARYS COUNTY SHERIFF DEPT, Maryland"
PRINCE GEORGE COUNTY POLICE DEPT,37,10566,"RIFLE,7.62 MILLIMETER",1994-11-07T12:00:00Z,2014-03-24T12:00:00Z,"PRINCE GEORGE COUNTY POLICE DEPT, Maryland"
TRANSIT ADMIN POLICE DEPT,24,9642,"RIFLE,5.56 MILLIMETER",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,"TRANSIT ADMIN POLICE DEPT, Maryland"
TAKOMA PARK POLICE DEPT,29,9267,"RIFLE,7.62 MILLIMETER",2003-06-25T12:00:00Z,2010-09-17T12:00:00Z,"TAKOMA PARK POLICE DEPT, Maryland"
SAINT MICHAELS POLICE DEPT,18,8692,"PISTOL, 40CAL, GLOCK GEN 3",2005-02-18T12:00:00Z,2014-09-25T12:00:00Z,"SAINT MICHAELS POLICE DEPT, Maryland"
BERWYN HEIGHTS POLICE DEPT,25,7760,"PISTOL, 40CAL, GLOCK GEN 3",1999-01-28T12:00:00Z,2014-03-24T12:00:00Z,"BERWYN HEIGHTS POLICE DEPT, Maryland"
CHESTERTOWN POLICE DEPT,15,7124,"RIFLE,5.56 MILLIMETER",2003-10-14T12:00:00Z,2004-09-07T12:00:00Z,"CHESTERTOWN POLICE DEPT, Maryland"
ALLEGANY COUNTY SHERIFF DEPT,6,6535,"FIRING DEVICE,NON-LETHAL",2014-11-05T12:00:00Z,2015-04-29T12:00:00Z,"ALLEGANY COUNTY SHERIFF DEPT, Maryland"
COLMAR MANOR POLICE DEPARTMENT,16,5231.1,"PISTOL, 40CAL, GLOCK GEN 3",1999-01-28T12:00:00Z,2014-04-10T12:00:00Z,"COLMAR MANOR POLICE DEPARTMENT, Maryland"
SNOW HILL POLICE DEPT,19,5125.55,"PISTOL, 40CAL, GLOCK GEN 3",1994-11-28T12:00:00Z,2013-09-19T12:00:00Z,"SNOW HILL POLICE DEPT, Maryland"
ANNAPOLIS POLICE DEPT,13,4906,"RIFLE,5.56 MILLIMETER",1998-09-28T12:00:00Z,2014-03-24T12:00:00Z,"ANNAPOLIS POLICE DEPT, Maryland"
MORGAN STATE UNIV POLICE HI_ED,14,4706,"SHOTGUN,12 GAGE,RIOT TYPE",1999-01-28T12:00:00Z,2015-03-30T12:00:00Z,"MORGAN STATE UNIV POLICE HI_ED, Maryland"
EASTON POLICE DEPT,660,4118.4,"SANITIZER, HAND (PERSONAL SIZE)",2021-02-17T10:31:25Z,2021-02-17T12:00:00Z,"EASTON POLICE DEPT, Maryland"
UNIV OF MD EASTERN SHORE PD HI_ED,8,3992,"RIFLE,5.56 MILLIMETER",1996-06-26T12:00:00Z,2005-02-14T12:00:00Z,"UNIV OF MD EASTERN SHORE PD HI_ED, Maryland"
RIDGELY POLICE DEPT,9,3238,"PISTOL, 40CAL, GLOCK GEN 3",2004-12-23T12:00:00Z,2013-09-19T12:00:00Z,"RIDGELY POLICE DEPT, Maryland"
OXFORD POLICE DEPARTMENT,11,3096,"SHOTGUN,12 GAGE,RIOT TYPE",1998-10-09T12:00:00Z,2014-03-24T12:00:00Z,"OXFORD POLICE DEPARTMENT, Maryland"
CAROLINE COUNTY SHERIFF DEPT,6,2994,"RIFLE,5.56 MILLIMETER",2002-10-21T12:00:00Z,2002-10-21T12:00:00Z,"CAROLINE COUNTY SHERIFF DEPT, Maryland"
ANNE ARUNDEL COMM COLLEGE PD HI_ED,9,2880,"PISTOL, 40CAL, GLOCK GEN 3",2013-09-19T12:00:00Z,2013-09-19T12:00:00Z,"ANNE ARUNDEL COMM COLLEGE PD HI_ED, Maryland"
WORCESTER COUNTY SHERIFF DEPT,13,1794,"RIFLE,7.62 MILLIMETER",1994-11-28T12:00:00Z,2008-01-22T12:00:00Z,"WORCESTER COUNTY SHERIFF DEPT, Maryland"
HAMPSTEAD POLICE DEPARTMENT,5,1358,"RIFLE,5.56 MILLIMETER",2006-08-28T12:00:00Z,2011-10-07T12:00:00Z,"HAMPSTEAD POLICE DEPARTMENT, Maryland"
HOWARD COUNTY SHERIFF DEPT,2,276,"RIFLE,7.62 MILLIMETER",1998-09-16T12:00:00Z,1998-09-17T12:00:00Z,"HOWARD COUNTY SHERIFF DEPT, Maryland"
