agency_name,total_items,total_acquisition_value,most_acquired_item,agency_name_2
ANNAPOLIS POLICE DEPT,13,4906,"RIFLE,5.56 MILLIMETER","ANNAPOLIS POLICE DEPT, Maryland"
MORGAN STATE UNIV POLICE HI_ED,14,4706,"SHOTGUN,12 GAGE,RIOT TYPE","MORGAN STATE UNIV POLICE HI_ED, Maryland"
EASTON POLICE DEPT,660,4118.4,"SANITIZER, HAND (PERSONAL SIZE)","EASTON POLICE DEPT, Maryland"
UNIV OF MD EASTERN SHORE PD HI_ED,8,3992,"RIFLE,5.56 MILLIMETER","UNIV OF MD EASTERN SHORE PD HI_ED, Maryland"
RIDGELY POLICE DEPT,9,3238,"PISTOL, 40CAL, GLOCK GEN 3","RIDGELY POLICE DEPT, Maryland"
OXFORD POLICE DEPARTMENT,11,3096,"SHOTGUN,12 GAGE,RIOT TYPE","OXFORD POLICE DEPARTMENT, Maryland"
CAROLINE COUNTY SHERIFF DEPT,6,2994,"RIFLE,5.56 MILLIMETER","CAROLINE COUNTY SHERIFF DEPT, Maryland"
ANNE ARUNDEL COMM COLLEGE PD HI_ED,9,2880,"PISTOL, 40CAL, GLOCK GEN 3","ANNE ARUNDEL COMM COLLEGE PD HI_ED, Maryland"
WORCESTER COUNTY SHERIFF DEPT,13,1794,"RIFLE,7.62 MILLIMETER","WORCESTER COUNTY SHERIFF DEPT, Maryland"
HAMPSTEAD POLICE DEPARTMENT,5,1358,"RIFLE,5.56 MILLIMETER","HAMPSTEAD POLICE DEPARTMENT, Maryland"
HOWARD COUNTY SHERIFF DEPT,2,276,"RIFLE,7.62 MILLIMETER","HOWARD COUNTY SHERIFF DEPT, Maryland"
